patient_id,recording_id,time_seconds,eeg1,eeg2,eeg3,eeg4
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.0,90.76728820800781,107.00247192382812,-819.8358154296875,-25.734960556030273
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.0039827823638916016,-219.42105102539062,-66.24766540527344,-864.879150390625,-20.264057159423828
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.007965564727783203,-413.1519775390625,-173.50265502929688,-883.6185913085938,-15.538978576660156
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.011948347091674805,-436.650146484375,-184.45639038085938,-866.3959350585938,-11.6897554397583
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.015931129455566406,-351.21893310546875,-133.61566162109375,-828.7872314453125,-8.330001831054688
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.019913911819458008,-281.4771728515625,-90.90262603759766,-798.755615234375,-5.18760347366333
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.02389669418334961,-294.0882873535156,-93.50309753417969,-791.2813720703125,-2.4484734535217285
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.02787947654724121,-343.814453125,-116.33965301513672,-795.7604370117188,-0.5327786803245544
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.03186225891113281,-348.96868896484375,-114.36966705322266,-791.7823486328125,0.5889818072319031
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.035845041275024414,-298.2373046875,-81.40042114257812,-773.7610473632812,1.4671571254730225
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.039827823638916016,-257.9744873046875,-54.4707145690918,-753.4940795898438,2.462707042694092
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.04381060600280762,-279.40972900390625,-62.998291015625,-741.28955078125,3.5695767402648926
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.04779338836669922,-330.8450927734375,-90.5595932006836,-733.1460571289062,4.748543739318848
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.05177617073059082,-343.1639404296875,-99.5036849975586,-718.8856811523438,5.924685001373291
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.05575895309448242,-303.11761474609375,-82.7823486328125,-700.1217651367188,7.1089677810668945
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.05974173545837402,-266.3299255371094,-71.22929382324219,-695.7791748046875,8.704878807067871
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.06372451782226562,-276.5680847167969,-88.47672271728516,-725.5614624023438,11.275053977966309
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.06770730018615723,-306.8111572265625,-117.51265716552734,-787.9917602539062,14.720198631286621
narcorev_01,1d38f590-d493-4550-9fd5-3d0261a0aff4,0.07169008255004883,-303.5587463378906,-125.00194549560547,-856.3427734375,17.457904815673828
