feature,importance
h5__eeg2_hjorth_mobility_std_mean,0.002138390055803754
h5__eeg4_delta_power_mean_min,0.002099435943974391
report__nrem_percentage_mean,0.0020952980389730928
h5__eeg2_theta_alpha_ratio_mean_min,0.0020936670076622914
h5__eeg2_iqr_median_min,0.0020808182180075156
h5__eeg4_skew_std_min,0.00206467039106737
h5__eeg4_iqr_mean_median,0.0020326609595470294
h5__eeg1_delta_sigma_ratio_std_max,0.0020248359795695357
h5__eeg2_skew_median_mean,0.0020129939065073486
report__sol_aasm_median,0.001996997617748873
report__respiration_rate_n1_std,0.0019764716439201304
report__wake_duration_std,0.001969157205519749
h5__eeg2_zero_crossings_median_max,0.001949570301571456
h5__eeg4_delta_sigma_ratio_std_std,0.0019484314655311588
h5__eeg2_delta_relative_power_std_mean,0.0019304369947227946
h5__N1_percentage_mean,0.0019151828844228668
h5__REM_percentage_median,0.0019084023261352117
h5__eeg1_delta_power_mean_std,0.0019080061840748125
report__respiration_rate_n3_std,0.0019076437024835712
h5__eeg1_std_std_median,0.0018886464635369613
h5__eeg1_delta_beta_ratio_std_min,0.0018789268691292733
h5__eeg4_std_median_min,0.0018629153775379325
h5__eeg2_delta_beta_ratio_std_min,0.0018510432921614681
h5__eeg3_iqr_median_std,0.0018303571428571425
report__proportion_off_head_max,0.001819553551819643
h5__eeg1_delta_power_std_mean,0.0017988204839880979
report__confidence_rem_duration_mean,0.0017922887676536984
report__confidence_rem_latency_aasm_min,0.001782461582559793
h5__eeg4_theta_alpha_ratio_median_std,0.0017715147858722612
h5__wake_epochs_max,0.001770923345334324
h5__eeg2_skew_median_std,0.001762412446573726
h5__eeg2_skew_mean_mean,0.001756750657314344
h5__eeg4_alpha_power_std_std,0.001756235392466228
report__confidence_rem_percentage_mean,0.0017407797876800928
h5__eeg3_iqr_std_max,0.0017315140683515637
h5__eeg1_sigma_power_mean_median,0.001727849183111032
h5__eeg2_sigma_power_mean_min,0.0017259354326985593
h5__eeg1_alpha_relative_power_mean_std,0.0017255206387556813
report__confidence_sleep_efficiency_median,0.001714596110873389
h5__eeg1_std_median_min,0.0017095657271118058
h5__eeg4_std_mean_median,0.0017059669237753077
h5__eeg2_delta_power_mean_std,0.0017028508771929835
report__awakenings_mean,0.0016965685657515548
report__confidence_rem_percentage_min,0.0016915516547481688
report__quality_index_F8_F7_mean,0.0016890534021663595
report__confidence_nrem_duration_max,0.0016834226208648961
report__waso_min,0.0016721181854783722
h5__eeg2_sigma_relative_power_median_max,0.001661806746712406
report__sol_aasm_max,0.0016576794185489826
h5__eeg3_kurtosis_std_std,0.0016576367808013165
h5__eeg2_sigma_power_median_median,0.0016549272486772496
h5__eeg4_hjorth_complexity_median_std,0.0016261756042885228
h5__eeg3_sigma_power_mean_std,0.001624136688886365
report__record_quality_index_mean,0.0016219989521035416
h5__Wake_epochs_std,0.0016137080269850565
h5__eeg3_theta_alpha_ratio_std_min,0.0016065783498721634
h5__N2_epochs_max,0.0016064778551909743
report__confidence_n2_duration_max,0.0016011868686868636
h5__eeg4_iqr_std_mean,0.0015974982452080678
h5__eeg1_kurtosis_median_std,0.001574524727813955
h5__eeg4_delta_power_mean_std,0.0015530621243817517
report__confidence_rem_duration_median,0.001551219694007279
report__confidence_tst_max,0.0015495328896720716
report__confidence_n3_latency_aasm_mean,0.0015410282448676863
h5__eeg4_hjorth_complexity_std_median,0.0015370444518010967
h5__eeg1_delta_sigma_ratio_mean_mean,0.0015231480877848757
h5__eeg4_theta_alpha_ratio_median_min,0.0015194939350463017
report__micro_arousal_index_min,0.001510628025297194
report__record_duration_std,0.0015053077074124383
report__n2_duration_mean,0.001484885554323986
h5__eeg4_hjorth_mobility_mean_max,0.0014797034537203525
h5__eeg3_iqr_mean_std,0.0014773163918358797
h5__eeg2_beta_power_std_min,0.0014758440617643467
h5__eeg2_total_power_0p5_30_mean_max,0.001467161929960601
h5__eeg2_skew_median_min,0.0014646691215764035
h5__eeg3_skew_median_max,0.0014436768892169677
report__confidence_rem_percentage_std,0.0014418804651123863
h5__eeg2_std_mean_mean,0.0014399436892814008
h5__eeg1_beta_power_std_median,0.0014350589917649526
h5__eeg3_delta_sigma_ratio_mean_min,0.001420583661175539
h5__eeg1_hjorth_mobility_std_mean,0.0014149620740498382
h5__eeg2_alpha_power_median_std,0.0014135815586740126
h5__eeg1_delta_beta_ratio_median_min,0.0014036814888362852
h5__eeg3_zero_crossings_std_std,0.0014025024861069769
report__confidence_wake_duration_min,0.0013955424989021735
report__confidence_n2_duration_median,0.001371828519690885
h5__eeg3_kurtosis_std_min,0.001362202695770893
h5__eeg3_delta_beta_ratio_median_median,0.001359632874549375
h5__eeg3_sigma_relative_power_std_median,0.001359030535639954
h5__eeg2_delta_beta_ratio_std_median,0.001353621300061858
h5__N2_percentage_mean,0.001348995018319109
report__confidence_n2_percentage_mean,0.0013342270332815684
h5__eeg4_delta_sigma_ratio_median_min,0.001322401721666405
h5__eeg3_alpha_power_median_std,0.0013097644714664342
h5__eeg4_total_power_0p5_30_std_min,0.0012936641264163417
h5__eeg4_sigma_relative_power_median_median,0.0012695005821049795
h5__eeg1_delta_power_mean_mean,0.0012622604400798385
h5__eeg2_kurtosis_std_max,0.0012615996784360152
h5__n_epochs_min,0.0012517560664112384
h5__eeg3_delta_power_std_mean,0.0012500000000000002
h5__N2_percentage_median,0.0012477037388088827
h5__eeg2_beta_power_mean_max,0.0012402777777777783
h5__eeg4_std_std_min,0.001227288238234818
h5__eeg1_delta_sigma_ratio_mean_std,0.0012248112899624474
h5__eeg2_delta_power_mean_min,0.0012202696458169008
report__rem_duration_min,0.0012199072778436495
report__confidence_n2_latency_aasm_median,0.0012119537065361469
h5__eeg2_sigma_power_mean_max,0.0012115384615384596
report__confidence_sleep_onset_std,0.001209349533024647
h5__eeg4_hjorth_mobility_median_max,0.001203628216312851
h5__eeg3_delta_power_mean_max,0.001199012776435349
h5__eeg4_alpha_power_mean_std,0.0011977333086282496
h5__eeg4_hjorth_mobility_mean_mean,0.0011957340714437454
h5__eeg3_delta_relative_power_std_mean,0.0011845491686403033
h5__eeg3_kurtosis_median_mean,0.0011817808949591872
h5__eeg2_sigma_relative_power_std_median,0.0011704990314244843
h5__eeg1_theta_power_mean_median,0.0011651357612180032
h5__eeg3_alpha_power_mean_max,0.0011602250635950717
h5__sleep_efficiency_epoch_ratio_std,0.0011547558551542436
h5__eeg3_delta_power_median_std,0.0011535606268451924
h5__eeg2_theta_relative_power_std_mean,0.0011501157532479104
h5__eeg4_hjorth_complexity_median_min,0.001142292107117688
h5__eeg2_delta_sigma_ratio_mean_mean,0.0011413494908118621
h5__eeg2_alpha_relative_power_median_std,0.0011288040015603026
h5__eeg2_iqr_mean_min,0.0011272669974993022
h5__eeg3_delta_beta_ratio_mean_max,0.0011246176404563423
h5__eeg1_skew_median_max,0.001116397721879449
report__n2_latency_aasm_min,0.001106959085865861
h5__eeg2_alpha_relative_power_mean_std,0.0011063648701193209
h5__eeg2_theta_alpha_ratio_std_std,0.0011005201471929393
h5__eeg2_theta_alpha_ratio_std_median,0.0010963319088319087
h5__eeg2_sigma_relative_power_mean_std,0.0010879551359991681
report__n2_percentage_mean,0.0010842215699610046
h5__eeg2_total_power_0p5_30_median_median,0.0010839031822429375
h5__eeg1_delta_power_mean_min,0.0010820059731209556
h5__eeg2_sigma_relative_power_median_std,0.0010805640712151893
h5__eeg3_theta_alpha_ratio_mean_mean,0.001074540573294052
report__n3_percentage_median,0.0010638303453278676
h5__eeg4_beta_relative_power_median_max,0.0010606994590386394
h5__eeg3_iqr_median_max,0.0010530943610614176
h5__eeg3_delta_sigma_ratio_median_median,0.0010450344619766787
h5__eeg1_zero_crossings_median_mean,0.0010431488684278045
h5__eeg3_kurtosis_mean_max,0.0010407387769529861
report__confidence_sol_aasm_std,0.0010374949206970207
h5__eeg2_std_median_median,0.0010372387348039152
report__proportion_scorable_and_on_head_min,0.0010355684277496972
report__sol_min,0.0010319115237289542
report__nr_of_shifts_median,0.001024897400820793
report__confidence_sleep_efficiency_std,0.001022727272727273
report__confidence_n3_latency_aasm_max,0.0010175585284280925
h5__eeg1_theta_alpha_ratio_mean_median,0.0010120185348323775
report__sol_median,0.0010095422764071654
h5__eeg4_alpha_relative_power_mean_std,0.001007281243187227
h5__eeg1_skew_std_median,0.001006069551881989
h5__eeg1_skew_median_mean,0.0009996886276335702
h5__REM_epochs_min,0.0009988553329236143
report__confidence_awakenings_mean,0.000998572681776346
h5__eeg2_theta_alpha_ratio_mean_mean,0.0009981062175977427
h5__eeg1_iqr_mean_mean,0.0009954758377973148
h5__eeg2_alpha_power_median_max,0.0009836736133563037
h5__eeg2_sigma_relative_power_std_max,0.0009819374137137575
h5__eeg1_delta_beta_ratio_std_max,0.000981501764634295
h5__eeg2_theta_alpha_ratio_std_min,0.0009740743443484336
report__proportion_scorable_and_on_head_median,0.0009722222222222224
h5__eeg1_theta_power_mean_min,0.0009712283840190824
h5__eeg4_std_std_mean,0.000965704592584079
h5__eeg2_sigma_power_mean_std,0.0009569740250028873
report__rem_percentage_median,0.0009547492532473866
h5__eeg3_skew_std_std,0.0009513546616741434
h5__eeg3_theta_alpha_ratio_mean_min,0.0009493385965514462
h5__eeg3_theta_power_median_std,0.0009460262693156995
h5__eeg1_sigma_relative_power_median_std,0.0009424562178068865
h5__eeg1_sigma_power_mean_min,0.000937499999999999
report__wake_duration_max,0.0009326629756451226
h5__eeg2_theta_power_mean_max,0.000932539682539682
h5__eeg2_std_std_mean,0.000925144368346353
h5__eeg2_alpha_power_std_mean,0.0009199564214304027
h5__eeg3_kurtosis_median_median,0.0009081116608293861
report__respiration_rate_n2_std,0.0009011627906976725
h5__eeg2_sigma_power_std_max,0.000899615994930379
h5__eeg4_kurtosis_median_min,0.000899031096934976
h5__eeg2_kurtosis_mean_min,0.0008949347269354653
h5__eeg4_kurtosis_std_median,0.0008928571428571427
h5__eeg1_std_std_min,0.000890151515151512
h5__eeg4_zero_crossings_mean_median,0.0008854166666666664
report__confidence_sleep_onset_max,0.0008849396422630526
h5__eeg4_sigma_power_mean_std,0.0008773756937255818
h5__eeg2_zero_crossings_median_median,0.0008771850344573933
h5__eeg4_delta_power_mean_mean,0.0008749147305485327
h5__sleep_efficiency_epoch_ratio_max,0.0008712144055245938
h5__eeg2_delta_power_std_min,0.0008703703703703705
h5__eeg3_theta_relative_power_median_median,0.0008674475336247518
h5__eeg4_sigma_power_mean_max,0.0008653846153846142
h5__eeg2_hjorth_complexity_std_std,0.0008646421169498469
h5__eeg3_delta_relative_power_std_std,0.0008600684286210139
h5__eeg3_delta_beta_ratio_median_mean,0.0008573932741552876
h5__eeg1_alpha_relative_power_median_median,0.0008562643179856194
h5__eeg1_alpha_relative_power_mean_max,0.0008544534723345737
report__quality_index_F8_O2_mean,0.0008512335084894193
report__micro_arousal_index_median,0.0008496049717326132
