feature,nrev_mean,ssp_mean,absolute_standardised_difference,importance
record_quality_index_min,57.22229392190998,0.40378947368421064,2.947125802075758,0.09159060765926505
record_quality_index_max,91.62304030647462,0.8291578947368422,3.250623528102544,0.08950633615494792
record_quality_index_mean,78.79881658077272,0.6335850547492503,3.2231034985094937,0.08919959115678658
record_quality_index_median,79.25703366149948,0.6392105263157895,3.219822348080781,0.06291899856415607
record_quality_index_std,13.192863285094257,0.13562613492506057,2.8789117307202687,0.06120678184015669
confidence_rem_latency_median,86.23619787456256,67.4937234042553,0.8669792208811912,0.009021415612676335
record_duration_std,17139.339793480416,7557.989448065859,1.5610277303642104,0.008866101915349688
record_duration_min,18657.0,24542.152982456144,0.5603736123745887,0.006221575740759456
confidence_n1_percentage_max,55.03648305599647,77.74563829787235,0.8397734468083483,0.0055042865633059615
confidence_rem_latency_mean,79.45150790039773,62.919760151773616,0.9451873435535695,0.0045977015121724495
confidence_rem_latency_min,41.54688099316777,19.44936170212766,0.8335677231354371,0.004058845817933779
record_duration_max,65212.09090909091,49646.3052631579,0.8917668672257713,0.0038352612494661487
average_respiration_rate_std,1.4193553918177062,0.836711390598922,0.8503951793347668,0.003778521091822737
average_respiration_rate_min,13.598442814191431,15.567473684210524,0.8994447661104257,0.00326574291866429
confidence_nrem_percentage_max,71.88818253966026,83.1924864831758,0.5116253605291673,0.002526840898461347
confidence_n3_duration_median,57.73151840861142,38.10273684210526,0.6134472832717587,0.0021008396743641775
confidence_lps_mean,74.97675649252434,82.65233939499174,0.5183569422484212,0.0017376742080002377
average_respiration_rate_median,15.719176557569595,16.59384210526316,0.40757269968348636,0.0015181713153079898
confidence_n2_duration_max,81.53110110766835,81.51347368421054,0.0008256594343318872,0.0014097041975398268
confidence_rem_duration_max,79.89999486655812,84.8139858479006,0.23336179134263213,0.0014026836988171162
record_duration_mean,37697.88486513487,34505.82314114905,0.42616391083793553,0.0013681161991169826
confidence_n1_duration_max,70.49292618377108,80.90157894736842,0.4096616191657017,0.001365517529152979
average_respiration_rate_mean,15.620161489901681,16.69817390223242,0.4947433329775005,0.0013182529411580506
confidence_rem_percentage_max,71.88818253966026,83.1924864831758,0.5116253605291673,0.0013108056554471668
confidence_n1_duration_median,32.9390810128268,41.69632669217847,0.2590182104843224,0.0012847564532158942
confidence_n3_percentage_median,54.96184314709451,42.07212765957446,0.4037031253245315,0.0012386026301792674
respiration_rate_n1_std,1.1515910527317599,0.7778342513669484,0.7699910362010356,0.0012203485354938244
confidence_sol_median,90.24712242678541,86.31258549014595,0.22157524970752726,0.0012015523450998671
confidence_n2_percentage_mean,53.394905934471424,47.709750637582324,0.22866688267593097,0.001198508904157821
confidence_sleep_efficiency_max,84.3693022054785,93.05073684210527,0.5566001602128838,0.0011516202509232552
confidence_rem_latency_std,23.097378812472346,25.561170186449328,0.2489811395894726,0.001115829480104626
confidence_nrem_percentage_median,53.02913675424349,50.75260638297872,0.07111916454259072,0.0010927267122043851
confidence_n3_duration_max,81.8217992987658,75.23494736842105,0.2553276918466583,0.0010694588178624255
confidence_n2_percentage_median,58.64047596139924,49.03237922880504,0.31988577581450006,0.0010689242258420176
confidence_nrem_percentage_min,21.17082459146367,11.798617021276597,0.38660475370858743,0.0010666075702353364
confidence_waso_max,82.62152178886646,90.32305263157895,0.4201251495252365,0.001052126581389027
confidence_n1_percentage_std,19.882852549262388,26.549109447924423,0.5784848583846541,0.0010333735408972955
confidence_nrem_duration_max,79.35726316359909,84.1681052631579,0.21541446748940074,0.001023842546565686
confidence_rem_percentage_std,21.733994728576267,25.624890845676564,0.36832255049344476,0.0009860186739360812
confidence_nrem_duration_median,55.42524085369269,48.500709997595024,0.2131912847104507,0.0009799874447960059
respiration_rate_n2_max,17.53293169611475,18.212210526315786,0.2078538015819855,0.0009791643357182174
respiration_rate_n3_median,16.553249932108177,17.12014217001082,0.23280782954308268,0.0009189100387074902
confidence_n3_percentage_max,80.55123500239004,76.50617021276595,0.17052900820160402,0.0009066879916788325
confidence_n2_duration_median,63.81519318034112,50.15842105263158,0.4685944047014388,0.0008891929911958023
respiration_rate_n2_median,15.885564447803983,16.485403136905433,0.2656240379883625,0.0008759268156300421
record_duration_median,36310.681818181816,33258.094736842104,0.4258630067688015,0.0008606481059661855
confidence_nrem_percentage_mean,49.31257404276642,49.58119135332342,0.010464531390658931,0.0008437931946994817
confidence_n1_duration_mean,34.85228787008696,41.68119647200863,0.2691855620757136,0.0008402868959480315
confidence_sleep_efficiency_std,25.179841024339716,28.93605935518267,0.31644808000250796,0.0008094978207954508
confidence_lps_median,81.01606789636209,87.77451440323617,0.39606513305680374,0.0008011774699019592
confidence_n2_percentage_std,21.174120429644923,23.138508656380846,0.2049041502352319,0.0007455793046175607
confidence_tst_std,28.50268866987622,28.16528747803048,0.02710306023633982,0.0007390414712673827
confidence_tst_max,80.93695014324281,86.58284210526317,0.2532446024907533,0.0007235905536290018
confidence_n3_duration_min,19.27973505815402,7.68536842105263,0.5349306828321213,0.0007097902224998888
respiration_rate_n1_mean,14.989103876556158,15.478326009995264,0.2565077072687469,0.000702518367925254
confidence_rem_duration_mean,53.985686591570996,48.98620128468677,0.19945385789953488,0.0006966358572685384
respiration_rate_n3_std,0.9919484530876643,0.8263144221395268,0.243822173473775,0.0006593541128242001
respiration_rate_n1_median,14.846818323587074,15.380894736842102,0.2819665148903007,0.0006544822634757596
confidence_rem_latency_max,98.06830268907039,93.05053191489364,0.518499552243369,0.0006352514853008961
