feature_set,model,features_used,balanced_accuracy,macro_f1,roc_auc,sensitivity,specificity,tn,fp,fn,tp
demographic_baseline,age,1,0.9229665071770334,0.8514514514514515,0.9909090909090909,0.9090909090909091,0.9368421052631579,89,6,1,10
demographic_baseline,sex_numeric,1,0.591866028708134,0.45912495928780805,0.49282296650717705,0.6363636363636364,0.5473684210526316,52,43,4,7
demographic_baseline,age+sex_numeric,2,0.9334928229665072,0.8866310160427808,0.9837320574162679,0.9090909090909091,0.9578947368421052,91,4,1,10
