feature,importance
confidence_n1_percentage_mean,0.0002676898792590803
confidence_n3_duration_mean,0.00026280142691771896
confidence_n1_percentage_median,0.00025864692556625137
rem_percentage_max,0.0002344042820187095
confidence_rem_percentage_min,0.00023388977212507694
respiration_rate_n3_min,0.00022440288703993238
rem_percentage_std,0.00019961991399116802
respiration_rate_n3_max,0.00016084520956445795
confidence_waso_median,0.00015821254292079336
n3_duration_std,0.00014774246003481615
confidence_waso_std,0.0001401496584918284
confidence_rem_percentage_median,0.00013608540582227383
respiration_rate_n1_min,0.00011064277281384618
respiration_rate_n3_mean,0.00010242354992914015
confidence_sol_max,8.939717201082984e-05
respiration_rate_n2_min,7.729171266127888e-05
confidence_sol_mean,7.075471698113585e-05
respiration_rate_n1_max,6.697045015189364e-05
confidence_waso_min,5.543827618342172e-05
rem_latency_std,1.3290909970095855e-05
confidence_rem_duration_min,2.249357326485389e-06
confidence_sleep_efficiency_median,2.0824656393191768e-06
confidence_n1_duration_min,5.3432415813214905e-18
confidence_tst_min,3.492284916747973e-18
confidence_n2_percentage_min,1.8041124150158744e-18
confidence_n3_percentage_min,1.118114463378598e-18
n3_percentage_std,1.0751633501633107e-18
confidence_n1_percentage_min,0.0
