threshold,balanced_accuracy,macro_f1,sensitivity,specificity,tn,fp,fn,tp
0.27915897306942083,0.9578947368421052,0.8446886446886447,1.0,0.9157894736842105,87,8,0,11
0.27420739710539194,0.9526315789473685,0.8299768312243807,1.0,0.9052631578947369,86,9,0,11
0.2717512956101086,0.9421052631578948,0.8026070763500931,1.0,0.8842105263157894,84,11,0,11
0.2565955897836418,0.9368421052631579,0.7898215465961665,1.0,0.8736842105263158,83,12,0,11
0.3742158249300592,0.9334928229665072,0.8866310160427808,0.9090909090909091,0.9578947368421052,91,4,1,10
0.2549478468908828,0.9315789473684211,0.7775625504439063,1.0,0.8631578947368421,82,13,0,11
0.3424264379503504,0.9282296650717703,0.8684863523573201,0.9090909090909091,0.9473684210526315,90,5,1,10
0.2469773435914531,0.9263157894736842,0.7657828282828283,1.0,0.8526315789473684,81,14,0,11
0.3309680897692724,0.9229665071770334,0.8514514514514515,0.9090909090909091,0.9368421052631579,89,6,1,10
0.22880856924323775,0.9210526315789473,0.7544401544401544,1.0,0.8421052631578947,80,15,0,11
0.31925125745348504,0.9177033492822966,0.8354037267080745,0.9090909090909091,0.9263157894736842,88,7,1,10
0.22553706903654788,0.9157894736842105,0.7434966727162735,1.0,0.8315789473684211,79,16,0,11
0.30824020331542523,0.9124401913875597,0.8202374222724703,0.9090909090909091,0.9157894736842105,87,8,1,10
0.20607167885659092,0.9105263157894736,0.7329183340744034,1.0,0.8210526315789474,78,17,0,11
0.17692874574000303,0.9052631578947368,0.7226744186046512,1.0,0.8105263157894737,77,18,0,11
0.15574191374366048,0.9,0.7127371273712737,1.0,0.8,76,19,0,11
0.1370334375575661,0.8947368421052632,0.7030812324929971,1.0,0.7894736842105263,75,20,0,11
0.50322046509679,0.8933014354066986,0.8780768345985737,0.8181818181818182,0.968421052631579,92,3,2,9
0.13554631926898633,0.8894736842105263,0.6936837759735792,1.0,0.7789473684210526,74,21,0,11
0.3953101274297154,0.8880382775119617,0.8590425531914894,0.8181818181818182,0.9578947368421052,91,4,2,9
0.13178652375074015,0.8842105263157894,0.6845238095238095,1.0,0.7684210526315789,73,22,0,11
0.12880293028479162,0.8789473684210527,0.6755821689953426,1.0,0.7578947368421053,72,23,0,11
0.12165186600022554,0.8736842105263158,0.6668412781561026,1.0,0.7473684210526316,71,24,0,11
