target,model,balanced_accuracy,macro_f1,sensitivity_NT1,specificity_all_other,roc_auc,features_after_qc,cv_splits,positive_subjects,other_subjects,sensitivity_NT2
NT1_vs_all_other,logistic_regression,0.5480769230769231,0.5480769230769231,0.25,0.8461538461538461,0.5833333333333333,1730,5,8,39,
NT2_vs_all_other,linear_svm,0.4772727272727273,0.47191011235955055,,0.9545454545454546,0.856060606060606,1730,3,3,44,0.0
