target,model,balanced_accuracy,macro_f1,sensitivity_NT1,specificity_all_other,roc_auc,features_after_qc,cv_splits
NT1_vs_all_other,logistic_regression,0.5480769230769231,0.5480769230769231,0.25,0.8461538461538461,0.5833333333333333,1730,5
NT1_vs_all_other,linear_svm,0.4983974358974359,0.49642857142857144,0.125,0.8717948717948718,0.5641025641025641,1730,5
NT1_vs_all_other,random_forest,0.4983974358974359,0.49642857142857144,0.125,0.8717948717948718,0.6185897435897436,1730,5
