dataset,model,fold_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,sensitivity_narcolepsy,specificity_comparison,roc_auc
report_only,logistic_regression,1,0.6,0.5625,0.5238095238095238,0.6380952380952382,0.5416666666666667,0.5625,0.5,0.625,0.75
report_only,logistic_regression,2,0.7,0.5952380952380952,0.6000000000000001,0.68,0.625,0.5952380952380952,0.3333333333333333,0.8571428571428571,0.8571428571428572
report_only,logistic_regression,3,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.7142857142857143
report_only,logistic_regression,4,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.9285714285714286
report_only,logistic_regression,5,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.7142857142857142
report_only,logistic_regression,6,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.8125
report_only,logistic_regression,7,0.8,0.7619047619047619,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.8571428571428571,0.8095238095238095
report_only,logistic_regression,8,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7857142857142857
report_only,logistic_regression,9,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,1.0
report_only,logistic_regression,10,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.8571428571428572
report_only,logistic_regression,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
report_only,logistic_regression,12,0.6,0.5238095238095238,0.5238095238095238,0.6,0.5238095238095238,0.5238095238095238,0.3333333333333333,0.7142857142857143,0.7142857142857142
report_only,logistic_regression,13,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.5714285714285714
report_only,logistic_regression,14,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.4285714285714286
report_only,logistic_regression,15,0.6666666666666666,0.42857142857142855,0.4,0.6222222222222222,0.375,0.42857142857142855,0.0,0.8571428571428571,0.5714285714285714
report_only,logistic_regression,16,0.8,0.6875,0.6875,0.8,0.6875,0.6875,0.5,0.875,0.6875
report_only,logistic_regression,17,0.4,0.2857142857142857,0.2857142857142857,0.4,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714
