dataset,feature,missing_percentage,is_all_missing,is_constant,min,max,median
h5_subject_features_labelled,eeg3_theta_alpha_ratio_mean_mean,0.0,False,False,2.3801950229745215,16.25906913510436,8.812857071830472
h5_subject_features_labelled,eeg3_theta_alpha_ratio_std_mean,0.0,False,False,0.7790962640146393,18.676159953005584,8.060462220252528
h5_subject_features_labelled,eeg3_theta_alpha_ratio_median_mean,0.0,False,False,2.288134681346926,14.888558712216,6.650456764202757
h5_subject_features_labelled,eeg3_delta_beta_ratio_mean_mean,0.0,False,False,25.552072154086257,83333.03346433623,5442.179579917619
h5_subject_features_labelled,eeg3_delta_beta_ratio_std_mean,0.0,False,False,132.80543162491503,528587.8621684366,15167.623077928238
h5_subject_features_labelled,eeg3_delta_beta_ratio_median_mean,0.0,False,False,12.6118469616032,6980.812065361939,1910.2478852081913
h5_subject_features_labelled,eeg3_delta_sigma_ratio_mean_mean,0.0,False,False,27.554114405755502,26947.58075315546,2500.2327260753664
h5_subject_features_labelled,eeg3_delta_sigma_ratio_std_mean,0.0,False,False,103.11025276776802,141420.59273014995,6594.74581135779
h5_subject_features_labelled,eeg3_delta_sigma_ratio_median_mean,0.0,False,False,17.180128187227716,2749.291420298177,757.2386030700072
h5_subject_features_labelled,eeg4_mean_mean_mean,0.0,False,False,-7.090866600771845e-14,3.6735826673268174e-14,-2.465663881264879e-15
h5_subject_features_labelled,eeg4_mean_std_mean,0.0,False,False,1.4363727722646345e-13,2.67711993829097e-12,7.688925411578725e-13
h5_subject_features_labelled,eeg4_mean_median_mean,0.0,False,False,-4.01670831466442e-16,1.6154706378090983e-14,-6.590590629946222e-18
h5_subject_features_labelled,eeg4_std_mean_mean,0.0,False,False,213.2113814333664,11386.299055641224,1418.1084452782434
h5_subject_features_labelled,eeg4_std_std_mean,0.0,False,False,3567.7841187855015,38336.90012139108,10145.221293642076
h5_subject_features_labelled,eeg4_std_median_mean,0.0,False,False,10.781016338262267,3716.6350983599896,32.51425278899372
h5_subject_features_labelled,eeg4_iqr_mean_mean,0.0,False,False,37.304864651676326,7448.194551504912,219.39973896818697
h5_subject_features_labelled,eeg4_iqr_std_mean,0.0,False,False,43.24873860984088,33403.07989736609,1695.1550766234004
h5_subject_features_labelled,eeg4_iqr_median_mean,0.0,False,False,12.086221169833578,268.4045803397575,28.780486874135818
h5_subject_features_labelled,eeg4_skew_mean_mean,0.0,False,False,-0.3594942396655747,0.7407389404474329,-0.0618846225055828
h5_subject_features_labelled,eeg4_skew_std_mean,0.0,False,False,0.9062175067387946,2.914745072000308,1.965726918073212
h5_subject_features_labelled,eeg4_skew_median_mean,0.0,False,False,-0.4058546034240434,0.3419711106457914,-0.024755243770637
h5_subject_features_labelled,eeg4_kurtosis_mean_mean,0.0,False,False,4.954779337357165,20.364293009248257,11.530220330961011
h5_subject_features_labelled,eeg4_kurtosis_std_mean,0.0,False,False,14.902739262875912,52.00882882259897,26.56406045637822
h5_subject_features_labelled,eeg4_kurtosis_median_mean,0.0,False,False,0.8670797957336314,13.221181154969544,3.318829311308645
h5_subject_features_labelled,eeg4_zero_crossings_mean_mean,0.0,False,False,171.41280633911128,415.34470879893274,276.57199074593586
h5_subject_features_labelled,eeg4_zero_crossings_std_mean,0.0,False,False,47.53233865905177,207.6905847452637,141.7948615978091
h5_subject_features_labelled,eeg4_zero_crossings_median_mean,0.0,False,False,142.0,411.1875,257.3333333333333
h5_subject_features_labelled,eeg4_hjorth_mobility_mean_mean,0.0,False,False,0.0649772004444274,0.1466134285547614,0.0970350142348074
h5_subject_features_labelled,eeg4_hjorth_mobility_std_mean,0.0,False,False,0.0216588285319332,0.0856419957174205,0.0552795290201576
h5_subject_features_labelled,eeg4_hjorth_mobility_median_mean,0.0,False,False,0.0494977723008881,0.1507321359531934,0.0842476753952499
h5_subject_features_labelled,eeg4_hjorth_complexity_mean_mean,0.0,False,False,3.576354370886278,8.185062657655415,5.773916299703282
h5_subject_features_labelled,eeg4_hjorth_complexity_std_mean,0.0,False,False,0.5729775302969933,4.431579065303558,3.0369465035354075
