source,family,feature_count
h5,spectral_power,660
h5,time_domain,364
h5,spectral_ratio,180
h5,hjorth,120
h5,sleep_architecture,71
report,sleep_architecture,285
report,other,50
report,respiratory_or_oxygen,5
