feature,source,family
h5__eeg3_zero_crossings_mean_std,h5,time_domain
h5__eeg3_zero_crossings_std_std,h5,time_domain
h5__eeg3_zero_crossings_median_std,h5,time_domain
h5__eeg3_hjorth_mobility_mean_std,h5,hjorth
h5__eeg3_hjorth_mobility_std_std,h5,hjorth
h5__eeg3_hjorth_mobility_median_std,h5,hjorth
h5__eeg3_hjorth_complexity_mean_std,h5,hjorth
h5__eeg3_hjorth_complexity_std_std,h5,hjorth
h5__eeg3_hjorth_complexity_median_std,h5,hjorth
h5__eeg3_total_power_0p5_30_mean_std,h5,spectral_power
h5__eeg3_total_power_0p5_30_std_std,h5,spectral_power
h5__eeg3_total_power_0p5_30_median_std,h5,spectral_power
h5__eeg3_delta_power_mean_std,h5,spectral_power
h5__eeg3_delta_power_std_std,h5,spectral_power
h5__eeg3_delta_power_median_std,h5,spectral_power
h5__eeg3_delta_relative_power_mean_std,h5,spectral_power
h5__eeg3_delta_relative_power_std_std,h5,spectral_power
h5__eeg3_delta_relative_power_median_std,h5,spectral_power
h5__eeg3_theta_power_mean_std,h5,spectral_power
h5__eeg3_theta_power_std_std,h5,spectral_power
h5__eeg3_theta_power_median_std,h5,spectral_power
h5__eeg3_theta_relative_power_mean_std,h5,spectral_power
h5__eeg3_theta_relative_power_std_std,h5,spectral_power
h5__eeg3_theta_relative_power_median_std,h5,spectral_power
h5__eeg3_alpha_power_mean_std,h5,spectral_power
h5__eeg3_alpha_power_std_std,h5,spectral_power
h5__eeg3_alpha_power_median_std,h5,spectral_power
h5__eeg3_alpha_relative_power_mean_std,h5,spectral_power
h5__eeg3_alpha_relative_power_std_std,h5,spectral_power
h5__eeg3_alpha_relative_power_median_std,h5,spectral_power
h5__eeg3_sigma_power_mean_std,h5,spectral_power
h5__eeg3_sigma_power_std_std,h5,spectral_power
h5__eeg3_sigma_power_median_std,h5,spectral_power
h5__eeg3_sigma_relative_power_mean_std,h5,spectral_power
h5__eeg3_sigma_relative_power_std_std,h5,spectral_power
h5__eeg3_sigma_relative_power_median_std,h5,spectral_power
h5__eeg3_beta_power_mean_std,h5,spectral_power
h5__eeg3_beta_power_std_std,h5,spectral_power
h5__eeg3_beta_power_median_std,h5,spectral_power
h5__eeg3_beta_relative_power_mean_std,h5,spectral_power
h5__eeg3_beta_relative_power_std_std,h5,spectral_power
h5__eeg3_beta_relative_power_median_std,h5,spectral_power
h5__eeg3_theta_alpha_ratio_mean_std,h5,spectral_ratio
h5__eeg3_theta_alpha_ratio_std_std,h5,spectral_ratio
h5__eeg3_theta_alpha_ratio_median_std,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_mean_std,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_std_std,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_median_std,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_mean_std,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_std_std,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_median_std,h5,spectral_ratio
h5__eeg4_mean_mean_std,h5,time_domain
h5__eeg4_mean_std_std,h5,time_domain
h5__eeg4_mean_median_std,h5,time_domain
h5__eeg4_std_mean_std,h5,time_domain
h5__eeg4_std_std_std,h5,time_domain
h5__eeg4_std_median_std,h5,time_domain
h5__eeg4_iqr_mean_std,h5,time_domain
h5__eeg4_iqr_std_std,h5,time_domain
h5__eeg4_iqr_median_std,h5,time_domain
h5__eeg4_skew_mean_std,h5,time_domain
h5__eeg4_skew_std_std,h5,time_domain
h5__eeg4_skew_median_std,h5,time_domain
h5__eeg4_kurtosis_mean_std,h5,time_domain
h5__eeg4_kurtosis_std_std,h5,time_domain
h5__eeg4_kurtosis_median_std,h5,time_domain
h5__eeg4_zero_crossings_mean_std,h5,time_domain
h5__eeg4_zero_crossings_std_std,h5,time_domain
h5__eeg4_zero_crossings_median_std,h5,time_domain
h5__eeg4_hjorth_mobility_mean_std,h5,hjorth
h5__eeg4_hjorth_mobility_std_std,h5,hjorth
h5__eeg4_hjorth_mobility_median_std,h5,hjorth
h5__eeg4_hjorth_complexity_mean_std,h5,hjorth
h5__eeg4_hjorth_complexity_std_std,h5,hjorth
h5__eeg4_hjorth_complexity_median_std,h5,hjorth
h5__eeg4_total_power_0p5_30_mean_std,h5,spectral_power
h5__eeg4_total_power_0p5_30_std_std,h5,spectral_power
h5__eeg4_total_power_0p5_30_median_std,h5,spectral_power
h5__eeg4_delta_power_mean_std,h5,spectral_power
h5__eeg4_delta_power_std_std,h5,spectral_power
h5__eeg4_delta_power_median_std,h5,spectral_power
h5__eeg4_delta_relative_power_mean_std,h5,spectral_power
h5__eeg4_delta_relative_power_std_std,h5,spectral_power
h5__eeg4_delta_relative_power_median_std,h5,spectral_power
h5__eeg4_theta_power_mean_std,h5,spectral_power
h5__eeg4_theta_power_std_std,h5,spectral_power
h5__eeg4_theta_power_median_std,h5,spectral_power
h5__eeg4_theta_relative_power_mean_std,h5,spectral_power
h5__eeg4_theta_relative_power_std_std,h5,spectral_power
h5__eeg4_theta_relative_power_median_std,h5,spectral_power
h5__eeg4_alpha_power_mean_std,h5,spectral_power
h5__eeg4_alpha_power_std_std,h5,spectral_power
h5__eeg4_alpha_power_median_std,h5,spectral_power
h5__eeg4_alpha_relative_power_mean_std,h5,spectral_power
h5__eeg4_alpha_relative_power_std_std,h5,spectral_power
h5__eeg4_alpha_relative_power_median_std,h5,spectral_power
h5__eeg4_sigma_power_mean_std,h5,spectral_power
h5__eeg4_sigma_power_std_std,h5,spectral_power
h5__eeg4_sigma_power_median_std,h5,spectral_power
h5__eeg4_sigma_relative_power_mean_std,h5,spectral_power
h5__eeg4_sigma_relative_power_std_std,h5,spectral_power
h5__eeg4_sigma_relative_power_median_std,h5,spectral_power
h5__eeg4_beta_power_mean_std,h5,spectral_power
h5__eeg4_beta_power_std_std,h5,spectral_power
h5__eeg4_beta_power_median_std,h5,spectral_power
h5__eeg4_beta_relative_power_mean_std,h5,spectral_power
h5__eeg4_beta_relative_power_std_std,h5,spectral_power
h5__eeg4_beta_relative_power_median_std,h5,spectral_power
h5__eeg4_theta_alpha_ratio_mean_std,h5,spectral_ratio
h5__eeg4_theta_alpha_ratio_std_std,h5,spectral_ratio
h5__eeg4_theta_alpha_ratio_median_std,h5,spectral_ratio
h5__eeg4_delta_beta_ratio_mean_std,h5,spectral_ratio
h5__eeg4_delta_beta_ratio_std_std,h5,spectral_ratio
h5__eeg4_delta_beta_ratio_median_std,h5,spectral_ratio
h5__eeg4_delta_sigma_ratio_mean_std,h5,spectral_ratio
h5__eeg4_delta_sigma_ratio_std_std,h5,spectral_ratio
h5__eeg4_delta_sigma_ratio_median_std,h5,spectral_ratio
h5__n_epochs_min,h5,sleep_architecture
h5__wake_epochs_min,h5,sleep_architecture
h5__sleep_epochs_min,h5,sleep_architecture
h5__tst_minutes_from_hypnogram_min,h5,sleep_architecture
h5__sleep_efficiency_epoch_ratio_min,h5,sleep_architecture
h5__Wake_epochs_min,h5,sleep_architecture
h5__Wake_percentage_min,h5,sleep_architecture
h5__N1_epochs_min,h5,sleep_architecture
h5__N1_percentage_min,h5,sleep_architecture
h5__N2_epochs_min,h5,sleep_architecture
h5__N2_percentage_min,h5,sleep_architecture
h5__N3_epochs_min,h5,sleep_architecture
h5__N3_percentage_min,h5,sleep_architecture
h5__REM_epochs_min,h5,sleep_architecture
h5__REM_percentage_min,h5,sleep_architecture
h5__eeg1_mean_mean_min,h5,time_domain
h5__eeg1_mean_std_min,h5,time_domain
h5__eeg1_mean_median_min,h5,time_domain
h5__eeg1_std_mean_min,h5,time_domain
h5__eeg1_std_std_min,h5,time_domain
h5__eeg1_std_median_min,h5,time_domain
h5__eeg1_iqr_mean_min,h5,time_domain
h5__eeg1_iqr_std_min,h5,time_domain
h5__eeg1_iqr_median_min,h5,time_domain
h5__eeg1_skew_mean_min,h5,time_domain
h5__eeg1_skew_std_min,h5,time_domain
h5__eeg1_skew_median_min,h5,time_domain
h5__eeg1_kurtosis_mean_min,h5,time_domain
h5__eeg1_kurtosis_std_min,h5,time_domain
h5__eeg1_kurtosis_median_min,h5,time_domain
h5__eeg1_zero_crossings_mean_min,h5,time_domain
h5__eeg1_zero_crossings_std_min,h5,time_domain
h5__eeg1_zero_crossings_median_min,h5,time_domain
h5__eeg1_hjorth_mobility_mean_min,h5,hjorth
h5__eeg1_hjorth_mobility_std_min,h5,hjorth
h5__eeg1_hjorth_mobility_median_min,h5,hjorth
h5__eeg1_hjorth_complexity_mean_min,h5,hjorth
h5__eeg1_hjorth_complexity_std_min,h5,hjorth
h5__eeg1_hjorth_complexity_median_min,h5,hjorth
h5__eeg1_total_power_0p5_30_mean_min,h5,spectral_power
h5__eeg1_total_power_0p5_30_std_min,h5,spectral_power
h5__eeg1_total_power_0p5_30_median_min,h5,spectral_power
h5__eeg1_delta_power_mean_min,h5,spectral_power
h5__eeg1_delta_power_std_min,h5,spectral_power
h5__eeg1_delta_power_median_min,h5,spectral_power
h5__eeg1_delta_relative_power_mean_min,h5,spectral_power
h5__eeg1_delta_relative_power_std_min,h5,spectral_power
h5__eeg1_delta_relative_power_median_min,h5,spectral_power
h5__eeg1_theta_power_mean_min,h5,spectral_power
h5__eeg1_theta_power_std_min,h5,spectral_power
h5__eeg1_theta_power_median_min,h5,spectral_power
h5__eeg1_theta_relative_power_mean_min,h5,spectral_power
h5__eeg1_theta_relative_power_std_min,h5,spectral_power
h5__eeg1_theta_relative_power_median_min,h5,spectral_power
h5__eeg1_alpha_power_mean_min,h5,spectral_power
h5__eeg1_alpha_power_std_min,h5,spectral_power
h5__eeg1_alpha_power_median_min,h5,spectral_power
h5__eeg1_alpha_relative_power_mean_min,h5,spectral_power
h5__eeg1_alpha_relative_power_std_min,h5,spectral_power
h5__eeg1_alpha_relative_power_median_min,h5,spectral_power
h5__eeg1_sigma_power_mean_min,h5,spectral_power
h5__eeg1_sigma_power_std_min,h5,spectral_power
h5__eeg1_sigma_power_median_min,h5,spectral_power
h5__eeg1_sigma_relative_power_mean_min,h5,spectral_power
h5__eeg1_sigma_relative_power_std_min,h5,spectral_power
h5__eeg1_sigma_relative_power_median_min,h5,spectral_power
h5__eeg1_beta_power_mean_min,h5,spectral_power
h5__eeg1_beta_power_std_min,h5,spectral_power
h5__eeg1_beta_power_median_min,h5,spectral_power
h5__eeg1_beta_relative_power_mean_min,h5,spectral_power
h5__eeg1_beta_relative_power_std_min,h5,spectral_power
h5__eeg1_beta_relative_power_median_min,h5,spectral_power
h5__eeg1_theta_alpha_ratio_mean_min,h5,spectral_ratio
h5__eeg1_theta_alpha_ratio_std_min,h5,spectral_ratio
h5__eeg1_theta_alpha_ratio_median_min,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_mean_min,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_std_min,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_median_min,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_mean_min,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_std_min,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_median_min,h5,spectral_ratio
h5__eeg2_mean_mean_min,h5,time_domain
h5__eeg2_mean_std_min,h5,time_domain
h5__eeg2_mean_median_min,h5,time_domain
h5__eeg2_std_mean_min,h5,time_domain
h5__eeg2_std_std_min,h5,time_domain
h5__eeg2_std_median_min,h5,time_domain
h5__eeg2_iqr_mean_min,h5,time_domain
h5__eeg2_iqr_std_min,h5,time_domain
h5__eeg2_iqr_median_min,h5,time_domain
h5__eeg2_skew_mean_min,h5,time_domain
h5__eeg2_skew_std_min,h5,time_domain
h5__eeg2_skew_median_min,h5,time_domain
h5__eeg2_kurtosis_mean_min,h5,time_domain
h5__eeg2_kurtosis_std_min,h5,time_domain
h5__eeg2_kurtosis_median_min,h5,time_domain
h5__eeg2_zero_crossings_mean_min,h5,time_domain
h5__eeg2_zero_crossings_std_min,h5,time_domain
h5__eeg2_zero_crossings_median_min,h5,time_domain
h5__eeg2_hjorth_mobility_mean_min,h5,hjorth
h5__eeg2_hjorth_mobility_std_min,h5,hjorth
h5__eeg2_hjorth_mobility_median_min,h5,hjorth
h5__eeg2_hjorth_complexity_mean_min,h5,hjorth
h5__eeg2_hjorth_complexity_std_min,h5,hjorth
h5__eeg2_hjorth_complexity_median_min,h5,hjorth
h5__eeg2_total_power_0p5_30_mean_min,h5,spectral_power
h5__eeg2_total_power_0p5_30_std_min,h5,spectral_power
h5__eeg2_total_power_0p5_30_median_min,h5,spectral_power
h5__eeg2_delta_power_mean_min,h5,spectral_power
h5__eeg2_delta_power_std_min,h5,spectral_power
h5__eeg2_delta_power_median_min,h5,spectral_power
h5__eeg2_delta_relative_power_mean_min,h5,spectral_power
h5__eeg2_delta_relative_power_std_min,h5,spectral_power
h5__eeg2_delta_relative_power_median_min,h5,spectral_power
h5__eeg2_theta_power_mean_min,h5,spectral_power
h5__eeg2_theta_power_std_min,h5,spectral_power
h5__eeg2_theta_power_median_min,h5,spectral_power
h5__eeg2_theta_relative_power_mean_min,h5,spectral_power
h5__eeg2_theta_relative_power_std_min,h5,spectral_power
h5__eeg2_theta_relative_power_median_min,h5,spectral_power
h5__eeg2_alpha_power_mean_min,h5,spectral_power
h5__eeg2_alpha_power_std_min,h5,spectral_power
h5__eeg2_alpha_power_median_min,h5,spectral_power
h5__eeg2_alpha_relative_power_mean_min,h5,spectral_power
h5__eeg2_alpha_relative_power_std_min,h5,spectral_power
h5__eeg2_alpha_relative_power_median_min,h5,spectral_power
h5__eeg2_sigma_power_mean_min,h5,spectral_power
h5__eeg2_sigma_power_std_min,h5,spectral_power
h5__eeg2_sigma_power_median_min,h5,spectral_power
h5__eeg2_sigma_relative_power_mean_min,h5,spectral_power
h5__eeg2_sigma_relative_power_std_min,h5,spectral_power
h5__eeg2_sigma_relative_power_median_min,h5,spectral_power
h5__eeg2_beta_power_mean_min,h5,spectral_power
h5__eeg2_beta_power_std_min,h5,spectral_power
h5__eeg2_beta_power_median_min,h5,spectral_power
h5__eeg2_beta_relative_power_mean_min,h5,spectral_power
h5__eeg2_beta_relative_power_std_min,h5,spectral_power
h5__eeg2_beta_relative_power_median_min,h5,spectral_power
h5__eeg2_theta_alpha_ratio_mean_min,h5,spectral_ratio
h5__eeg2_theta_alpha_ratio_std_min,h5,spectral_ratio
h5__eeg2_theta_alpha_ratio_median_min,h5,spectral_ratio
h5__eeg2_delta_beta_ratio_mean_min,h5,spectral_ratio
h5__eeg2_delta_beta_ratio_std_min,h5,spectral_ratio
h5__eeg2_delta_beta_ratio_median_min,h5,spectral_ratio
h5__eeg2_delta_sigma_ratio_mean_min,h5,spectral_ratio
h5__eeg2_delta_sigma_ratio_std_min,h5,spectral_ratio
h5__eeg2_delta_sigma_ratio_median_min,h5,spectral_ratio
h5__eeg3_mean_mean_min,h5,time_domain
h5__eeg3_mean_std_min,h5,time_domain
h5__eeg3_mean_median_min,h5,time_domain
h5__eeg3_std_mean_min,h5,time_domain
h5__eeg3_std_std_min,h5,time_domain
h5__eeg3_std_median_min,h5,time_domain
h5__eeg3_iqr_mean_min,h5,time_domain
h5__eeg3_iqr_std_min,h5,time_domain
h5__eeg3_iqr_median_min,h5,time_domain
h5__eeg3_skew_mean_min,h5,time_domain
h5__eeg3_skew_std_min,h5,time_domain
h5__eeg3_skew_median_min,h5,time_domain
h5__eeg3_kurtosis_mean_min,h5,time_domain
h5__eeg3_kurtosis_std_min,h5,time_domain
h5__eeg3_kurtosis_median_min,h5,time_domain
h5__eeg3_zero_crossings_mean_min,h5,time_domain
h5__eeg3_zero_crossings_std_min,h5,time_domain
h5__eeg3_zero_crossings_median_min,h5,time_domain
h5__eeg3_hjorth_mobility_mean_min,h5,hjorth
h5__eeg3_hjorth_mobility_std_min,h5,hjorth
h5__eeg3_hjorth_mobility_median_min,h5,hjorth
h5__eeg3_hjorth_complexity_mean_min,h5,hjorth
h5__eeg3_hjorth_complexity_std_min,h5,hjorth
h5__eeg3_hjorth_complexity_median_min,h5,hjorth
h5__eeg3_total_power_0p5_30_mean_min,h5,spectral_power
h5__eeg3_total_power_0p5_30_std_min,h5,spectral_power
h5__eeg3_total_power_0p5_30_median_min,h5,spectral_power
h5__eeg3_delta_power_mean_min,h5,spectral_power
h5__eeg3_delta_power_std_min,h5,spectral_power
h5__eeg3_delta_power_median_min,h5,spectral_power
h5__eeg3_delta_relative_power_mean_min,h5,spectral_power
h5__eeg3_delta_relative_power_std_min,h5,spectral_power
h5__eeg3_delta_relative_power_median_min,h5,spectral_power
h5__eeg3_theta_power_mean_min,h5,spectral_power
h5__eeg3_theta_power_std_min,h5,spectral_power
h5__eeg3_theta_power_median_min,h5,spectral_power
h5__eeg3_theta_relative_power_mean_min,h5,spectral_power
h5__eeg3_theta_relative_power_std_min,h5,spectral_power
h5__eeg3_theta_relative_power_median_min,h5,spectral_power
h5__eeg3_alpha_power_mean_min,h5,spectral_power
h5__eeg3_alpha_power_std_min,h5,spectral_power
h5__eeg3_alpha_power_median_min,h5,spectral_power
h5__eeg3_alpha_relative_power_mean_min,h5,spectral_power
h5__eeg3_alpha_relative_power_std_min,h5,spectral_power
h5__eeg3_alpha_relative_power_median_min,h5,spectral_power
h5__eeg3_sigma_power_mean_min,h5,spectral_power
h5__eeg3_sigma_power_std_min,h5,spectral_power
h5__eeg3_sigma_power_median_min,h5,spectral_power
h5__eeg3_sigma_relative_power_mean_min,h5,spectral_power
h5__eeg3_sigma_relative_power_std_min,h5,spectral_power
h5__eeg3_sigma_relative_power_median_min,h5,spectral_power
h5__eeg3_beta_power_mean_min,h5,spectral_power
h5__eeg3_beta_power_std_min,h5,spectral_power
h5__eeg3_beta_power_median_min,h5,spectral_power
h5__eeg3_beta_relative_power_mean_min,h5,spectral_power
h5__eeg3_beta_relative_power_std_min,h5,spectral_power
h5__eeg3_beta_relative_power_median_min,h5,spectral_power
h5__eeg3_theta_alpha_ratio_mean_min,h5,spectral_ratio
h5__eeg3_theta_alpha_ratio_std_min,h5,spectral_ratio
h5__eeg3_theta_alpha_ratio_median_min,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_mean_min,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_std_min,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_median_min,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_mean_min,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_std_min,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_median_min,h5,spectral_ratio
h5__eeg4_mean_mean_min,h5,time_domain
h5__eeg4_mean_std_min,h5,time_domain
h5__eeg4_mean_median_min,h5,time_domain
h5__eeg4_std_mean_min,h5,time_domain
h5__eeg4_std_std_min,h5,time_domain
h5__eeg4_std_median_min,h5,time_domain
h5__eeg4_iqr_mean_min,h5,time_domain
h5__eeg4_iqr_std_min,h5,time_domain
h5__eeg4_iqr_median_min,h5,time_domain
h5__eeg4_skew_mean_min,h5,time_domain
h5__eeg4_skew_std_min,h5,time_domain
h5__eeg4_skew_median_min,h5,time_domain
h5__eeg4_kurtosis_mean_min,h5,time_domain
h5__eeg4_kurtosis_std_min,h5,time_domain
h5__eeg4_kurtosis_median_min,h5,time_domain
h5__eeg4_zero_crossings_mean_min,h5,time_domain
h5__eeg4_zero_crossings_std_min,h5,time_domain
h5__eeg4_zero_crossings_median_min,h5,time_domain
h5__eeg4_hjorth_mobility_mean_min,h5,hjorth
h5__eeg4_hjorth_mobility_std_min,h5,hjorth
h5__eeg4_hjorth_mobility_median_min,h5,hjorth
h5__eeg4_hjorth_complexity_mean_min,h5,hjorth
h5__eeg4_hjorth_complexity_std_min,h5,hjorth
h5__eeg4_hjorth_complexity_median_min,h5,hjorth
h5__eeg4_total_power_0p5_30_mean_min,h5,spectral_power
h5__eeg4_total_power_0p5_30_std_min,h5,spectral_power
h5__eeg4_total_power_0p5_30_median_min,h5,spectral_power
h5__eeg4_delta_power_mean_min,h5,spectral_power
h5__eeg4_delta_power_std_min,h5,spectral_power
h5__eeg4_delta_power_median_min,h5,spectral_power
h5__eeg4_delta_relative_power_mean_min,h5,spectral_power
h5__eeg4_delta_relative_power_std_min,h5,spectral_power
h5__eeg4_delta_relative_power_median_min,h5,spectral_power
h5__eeg4_theta_power_mean_min,h5,spectral_power
h5__eeg4_theta_power_std_min,h5,spectral_power
h5__eeg4_theta_power_median_min,h5,spectral_power
h5__eeg4_theta_relative_power_mean_min,h5,spectral_power
h5__eeg4_theta_relative_power_std_min,h5,spectral_power
h5__eeg4_theta_relative_power_median_min,h5,spectral_power
h5__eeg4_alpha_power_mean_min,h5,spectral_power
h5__eeg4_alpha_power_std_min,h5,spectral_power
h5__eeg4_alpha_power_median_min,h5,spectral_power
h5__eeg4_alpha_relative_power_mean_min,h5,spectral_power
h5__eeg4_alpha_relative_power_std_min,h5,spectral_power
h5__eeg4_alpha_relative_power_median_min,h5,spectral_power
h5__eeg4_sigma_power_mean_min,h5,spectral_power
h5__eeg4_sigma_power_std_min,h5,spectral_power
h5__eeg4_sigma_power_median_min,h5,spectral_power
h5__eeg4_sigma_relative_power_mean_min,h5,spectral_power
h5__eeg4_sigma_relative_power_std_min,h5,spectral_power
h5__eeg4_sigma_relative_power_median_min,h5,spectral_power
h5__eeg4_beta_power_mean_min,h5,spectral_power
h5__eeg4_beta_power_std_min,h5,spectral_power
h5__eeg4_beta_power_median_min,h5,spectral_power
h5__eeg4_beta_relative_power_mean_min,h5,spectral_power
h5__eeg4_beta_relative_power_std_min,h5,spectral_power
h5__eeg4_beta_relative_power_median_min,h5,spectral_power
h5__eeg4_theta_alpha_ratio_mean_min,h5,spectral_ratio
h5__eeg4_theta_alpha_ratio_std_min,h5,spectral_ratio
h5__eeg4_theta_alpha_ratio_median_min,h5,spectral_ratio
h5__eeg4_delta_beta_ratio_mean_min,h5,spectral_ratio
h5__eeg4_delta_beta_ratio_std_min,h5,spectral_ratio
h5__eeg4_delta_beta_ratio_median_min,h5,spectral_ratio
h5__eeg4_delta_sigma_ratio_mean_min,h5,spectral_ratio
h5__eeg4_delta_sigma_ratio_std_min,h5,spectral_ratio
h5__eeg4_delta_sigma_ratio_median_min,h5,spectral_ratio
h5__n_epochs_max,h5,sleep_architecture
h5__wake_epochs_max,h5,sleep_architecture
h5__sleep_epochs_max,h5,sleep_architecture
h5__tst_minutes_from_hypnogram_max,h5,sleep_architecture
h5__sleep_efficiency_epoch_ratio_max,h5,sleep_architecture
h5__Wake_epochs_max,h5,sleep_architecture
h5__Wake_percentage_max,h5,sleep_architecture
h5__N1_epochs_max,h5,sleep_architecture
h5__N1_percentage_max,h5,sleep_architecture
h5__N2_epochs_max,h5,sleep_architecture
h5__N2_percentage_max,h5,sleep_architecture
h5__N3_epochs_max,h5,sleep_architecture
h5__N3_percentage_max,h5,sleep_architecture
h5__REM_epochs_max,h5,sleep_architecture
h5__REM_percentage_max,h5,sleep_architecture
h5__eeg1_mean_mean_max,h5,time_domain
h5__eeg1_mean_std_max,h5,time_domain
h5__eeg1_mean_median_max,h5,time_domain
h5__eeg1_std_mean_max,h5,time_domain
h5__eeg1_std_std_max,h5,time_domain
h5__eeg1_std_median_max,h5,time_domain
h5__eeg1_iqr_mean_max,h5,time_domain
h5__eeg1_iqr_std_max,h5,time_domain
h5__eeg1_iqr_median_max,h5,time_domain
h5__eeg1_skew_mean_max,h5,time_domain
h5__eeg1_skew_std_max,h5,time_domain
h5__eeg1_skew_median_max,h5,time_domain
h5__eeg1_kurtosis_mean_max,h5,time_domain
h5__eeg1_kurtosis_std_max,h5,time_domain
h5__eeg1_kurtosis_median_max,h5,time_domain
h5__eeg1_zero_crossings_mean_max,h5,time_domain
h5__eeg1_zero_crossings_std_max,h5,time_domain
h5__eeg1_zero_crossings_median_max,h5,time_domain
h5__eeg1_hjorth_mobility_mean_max,h5,hjorth
h5__eeg1_hjorth_mobility_std_max,h5,hjorth
h5__eeg1_hjorth_mobility_median_max,h5,hjorth
h5__eeg1_hjorth_complexity_mean_max,h5,hjorth
h5__eeg1_hjorth_complexity_std_max,h5,hjorth
h5__eeg1_hjorth_complexity_median_max,h5,hjorth
h5__eeg1_total_power_0p5_30_mean_max,h5,spectral_power
h5__eeg1_total_power_0p5_30_std_max,h5,spectral_power
h5__eeg1_total_power_0p5_30_median_max,h5,spectral_power
h5__eeg1_delta_power_mean_max,h5,spectral_power
h5__eeg1_delta_power_std_max,h5,spectral_power
h5__eeg1_delta_power_median_max,h5,spectral_power
h5__eeg1_delta_relative_power_mean_max,h5,spectral_power
h5__eeg1_delta_relative_power_std_max,h5,spectral_power
h5__eeg1_delta_relative_power_median_max,h5,spectral_power
h5__eeg1_theta_power_mean_max,h5,spectral_power
h5__eeg1_theta_power_std_max,h5,spectral_power
h5__eeg1_theta_power_median_max,h5,spectral_power
h5__eeg1_theta_relative_power_mean_max,h5,spectral_power
h5__eeg1_theta_relative_power_std_max,h5,spectral_power
h5__eeg1_theta_relative_power_median_max,h5,spectral_power
h5__eeg1_alpha_power_mean_max,h5,spectral_power
h5__eeg1_alpha_power_std_max,h5,spectral_power
h5__eeg1_alpha_power_median_max,h5,spectral_power
h5__eeg1_alpha_relative_power_mean_max,h5,spectral_power
h5__eeg1_alpha_relative_power_std_max,h5,spectral_power
h5__eeg1_alpha_relative_power_median_max,h5,spectral_power
h5__eeg1_sigma_power_mean_max,h5,spectral_power
h5__eeg1_sigma_power_std_max,h5,spectral_power
h5__eeg1_sigma_power_median_max,h5,spectral_power
h5__eeg1_sigma_relative_power_mean_max,h5,spectral_power
h5__eeg1_sigma_relative_power_std_max,h5,spectral_power
h5__eeg1_sigma_relative_power_median_max,h5,spectral_power
h5__eeg1_beta_power_mean_max,h5,spectral_power
h5__eeg1_beta_power_std_max,h5,spectral_power
h5__eeg1_beta_power_median_max,h5,spectral_power
h5__eeg1_beta_relative_power_mean_max,h5,spectral_power
h5__eeg1_beta_relative_power_std_max,h5,spectral_power
h5__eeg1_beta_relative_power_median_max,h5,spectral_power
h5__eeg1_theta_alpha_ratio_mean_max,h5,spectral_ratio
h5__eeg1_theta_alpha_ratio_std_max,h5,spectral_ratio
h5__eeg1_theta_alpha_ratio_median_max,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_mean_max,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_std_max,h5,spectral_ratio
h5__eeg1_delta_beta_ratio_median_max,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_mean_max,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_std_max,h5,spectral_ratio
h5__eeg1_delta_sigma_ratio_median_max,h5,spectral_ratio
h5__eeg2_mean_mean_max,h5,time_domain
h5__eeg2_mean_std_max,h5,time_domain
h5__eeg2_mean_median_max,h5,time_domain
h5__eeg2_std_mean_max,h5,time_domain
h5__eeg2_std_std_max,h5,time_domain
h5__eeg2_std_median_max,h5,time_domain
h5__eeg2_iqr_mean_max,h5,time_domain
h5__eeg2_iqr_std_max,h5,time_domain
h5__eeg2_iqr_median_max,h5,time_domain
h5__eeg2_skew_mean_max,h5,time_domain
h5__eeg2_skew_std_max,h5,time_domain
h5__eeg2_skew_median_max,h5,time_domain
h5__eeg2_kurtosis_mean_max,h5,time_domain
h5__eeg2_kurtosis_std_max,h5,time_domain
h5__eeg2_kurtosis_median_max,h5,time_domain
h5__eeg2_zero_crossings_mean_max,h5,time_domain
h5__eeg2_zero_crossings_std_max,h5,time_domain
h5__eeg2_zero_crossings_median_max,h5,time_domain
h5__eeg2_hjorth_mobility_mean_max,h5,hjorth
h5__eeg2_hjorth_mobility_std_max,h5,hjorth
h5__eeg2_hjorth_mobility_median_max,h5,hjorth
h5__eeg2_hjorth_complexity_mean_max,h5,hjorth
