feature,source,family
report__confidence_lrem4_std,report,sleep_architecture
report__confidence_n1_duration_std,report,sleep_architecture
report__confidence_n1_percentage_std,report,sleep_architecture
report__confidence_n2_duration_std,report,sleep_architecture
report__confidence_n2_latency_aasm_std,report,sleep_architecture
report__confidence_n2_percentage_std,report,sleep_architecture
report__confidence_n3_duration_std,report,sleep_architecture
report__confidence_n3_latency_aasm_std,report,sleep_architecture
report__confidence_n3_percentage_std,report,sleep_architecture
report__confidence_nr_of_shifts_std,report,sleep_architecture
report__confidence_nrem_duration_std,report,sleep_architecture
report__confidence_nrem_percentage_std,report,sleep_architecture
report__confidence_rem_duration_std,report,sleep_architecture
report__confidence_rem_latency_std,report,sleep_architecture
report__confidence_rem_latency_aasm_std,report,sleep_architecture
report__confidence_rem_percentage_std,report,sleep_architecture
report__confidence_sleep_efficiency_std,report,sleep_architecture
report__confidence_sleep_onset_std,report,sleep_architecture
report__confidence_sol_std,report,sleep_architecture
report__confidence_sol_aasm_std,report,sleep_architecture
report__confidence_tst_std,report,sleep_architecture
report__confidence_wake_duration_std,report,sleep_architecture
report__confidence_waso_std,report,sleep_architecture
report__confidence_waso_aasm_std,report,sleep_architecture
report__lps_std,report,sleep_architecture
report__lrem4_std,report,sleep_architecture
report__micro_arousal_index_std,report,other
report__n1_duration_std,report,sleep_architecture
report__n1_percentage_std,report,sleep_architecture
report__n2_duration_std,report,sleep_architecture
report__n2_latency_aasm_std,report,sleep_architecture
report__n2_percentage_std,report,sleep_architecture
report__n3_duration_std,report,sleep_architecture
report__n3_latency_aasm_std,report,sleep_architecture
report__n3_percentage_std,report,sleep_architecture
report__nr_of_shifts_std,report,sleep_architecture
report__nrem_duration_std,report,sleep_architecture
report__nrem_percentage_std,report,sleep_architecture
report__proportion_off_head_std,report,other
report__proportion_scorable_and_on_head_std,report,other
report__quality_index_F7_O1_std,report,other
report__quality_index_F7_O2_std,report,other
report__quality_index_F8_F7_std,report,other
report__quality_index_F8_O1_std,report,other
report__quality_index_F8_O2_std,report,other
report__record_duration_std,report,sleep_architecture
report__record_quality_index_std,report,other
report__rem_duration_std,report,sleep_architecture
report__rem_latency_std,report,sleep_architecture
report__rem_latency_aasm_std,report,sleep_architecture
report__rem_percentage_std,report,sleep_architecture
report__respiration_rate_n1_std,report,sleep_architecture
report__respiration_rate_n2_std,report,sleep_architecture
report__respiration_rate_n3_std,report,sleep_architecture
report__respiration_rate_rem_std,report,sleep_architecture
report__respiration_rate_wake_std,report,sleep_architecture
report__sleep_efficiency_std,report,sleep_architecture
report__sol_std,report,sleep_architecture
report__sol_aasm_std,report,sleep_architecture
report__tst_std,report,sleep_architecture
report__wake_duration_std,report,sleep_architecture
report__waso_std,report,sleep_architecture
report__waso_aasm_std,report,sleep_architecture
report__average_respiration_rate_min,report,respiratory_or_oxygen
report__awakenings_min,report,sleep_architecture
report__confidence_awakenings_min,report,sleep_architecture
report__confidence_last_sleep_min,report,other
report__confidence_lps_min,report,sleep_architecture
report__confidence_lrem4_min,report,sleep_architecture
report__confidence_n1_duration_min,report,sleep_architecture
report__confidence_n1_percentage_min,report,sleep_architecture
report__confidence_n2_duration_min,report,sleep_architecture
report__confidence_n2_latency_aasm_min,report,sleep_architecture
report__confidence_n2_percentage_min,report,sleep_architecture
report__confidence_n3_duration_min,report,sleep_architecture
report__confidence_n3_latency_aasm_min,report,sleep_architecture
report__confidence_n3_percentage_min,report,sleep_architecture
report__confidence_nr_of_shifts_min,report,sleep_architecture
report__confidence_nrem_duration_min,report,sleep_architecture
report__confidence_nrem_percentage_min,report,sleep_architecture
report__confidence_rem_duration_min,report,sleep_architecture
report__confidence_rem_latency_min,report,sleep_architecture
report__confidence_rem_latency_aasm_min,report,sleep_architecture
report__confidence_rem_percentage_min,report,sleep_architecture
report__confidence_sleep_efficiency_min,report,sleep_architecture
report__confidence_sleep_onset_min,report,sleep_architecture
report__confidence_sol_min,report,sleep_architecture
report__confidence_sol_aasm_min,report,sleep_architecture
report__confidence_tst_min,report,sleep_architecture
report__confidence_wake_duration_min,report,sleep_architecture
report__confidence_waso_min,report,sleep_architecture
report__confidence_waso_aasm_min,report,sleep_architecture
report__lps_min,report,sleep_architecture
report__lrem4_min,report,sleep_architecture
report__micro_arousal_index_min,report,other
report__n1_duration_min,report,sleep_architecture
report__n1_percentage_min,report,sleep_architecture
report__n2_duration_min,report,sleep_architecture
report__n2_latency_aasm_min,report,sleep_architecture
report__n2_percentage_min,report,sleep_architecture
report__n3_duration_min,report,sleep_architecture
report__n3_latency_aasm_min,report,sleep_architecture
report__n3_percentage_min,report,sleep_architecture
report__nr_of_shifts_min,report,sleep_architecture
report__nrem_duration_min,report,sleep_architecture
report__nrem_percentage_min,report,sleep_architecture
report__proportion_off_head_min,report,other
report__proportion_scorable_and_on_head_min,report,other
report__quality_index_F7_O1_min,report,other
report__quality_index_F7_O2_min,report,other
report__quality_index_F8_F7_min,report,other
report__quality_index_F8_O1_min,report,other
report__quality_index_F8_O2_min,report,other
report__record_duration_min,report,sleep_architecture
report__record_quality_index_min,report,other
report__rem_duration_min,report,sleep_architecture
report__rem_latency_min,report,sleep_architecture
report__rem_latency_aasm_min,report,sleep_architecture
report__rem_percentage_min,report,sleep_architecture
report__respiration_rate_n1_min,report,sleep_architecture
report__respiration_rate_n2_min,report,sleep_architecture
report__respiration_rate_n3_min,report,sleep_architecture
report__respiration_rate_rem_min,report,sleep_architecture
report__respiration_rate_wake_min,report,sleep_architecture
report__sleep_efficiency_min,report,sleep_architecture
report__sol_min,report,sleep_architecture
report__sol_aasm_min,report,sleep_architecture
report__tst_min,report,sleep_architecture
report__wake_duration_min,report,sleep_architecture
report__waso_min,report,sleep_architecture
report__waso_aasm_min,report,sleep_architecture
report__average_respiration_rate_max,report,respiratory_or_oxygen
report__awakenings_max,report,sleep_architecture
report__confidence_awakenings_max,report,sleep_architecture
report__confidence_last_sleep_max,report,other
report__confidence_lps_max,report,sleep_architecture
report__confidence_lrem4_max,report,sleep_architecture
report__confidence_n1_duration_max,report,sleep_architecture
report__confidence_n1_percentage_max,report,sleep_architecture
report__confidence_n2_duration_max,report,sleep_architecture
report__confidence_n2_latency_aasm_max,report,sleep_architecture
report__confidence_n2_percentage_max,report,sleep_architecture
report__confidence_n3_duration_max,report,sleep_architecture
report__confidence_n3_latency_aasm_max,report,sleep_architecture
report__confidence_n3_percentage_max,report,sleep_architecture
report__confidence_nr_of_shifts_max,report,sleep_architecture
report__confidence_nrem_duration_max,report,sleep_architecture
report__confidence_nrem_percentage_max,report,sleep_architecture
report__confidence_rem_duration_max,report,sleep_architecture
report__confidence_rem_latency_max,report,sleep_architecture
report__confidence_rem_latency_aasm_max,report,sleep_architecture
report__confidence_rem_percentage_max,report,sleep_architecture
report__confidence_sleep_efficiency_max,report,sleep_architecture
report__confidence_sleep_onset_max,report,sleep_architecture
report__confidence_sol_max,report,sleep_architecture
report__confidence_sol_aasm_max,report,sleep_architecture
report__confidence_tst_max,report,sleep_architecture
report__confidence_wake_duration_max,report,sleep_architecture
report__confidence_waso_max,report,sleep_architecture
report__confidence_waso_aasm_max,report,sleep_architecture
report__lps_max,report,sleep_architecture
report__lrem4_max,report,sleep_architecture
report__micro_arousal_index_max,report,other
report__n1_duration_max,report,sleep_architecture
report__n1_percentage_max,report,sleep_architecture
report__n2_duration_max,report,sleep_architecture
report__n2_latency_aasm_max,report,sleep_architecture
report__n2_percentage_max,report,sleep_architecture
report__n3_duration_max,report,sleep_architecture
report__n3_latency_aasm_max,report,sleep_architecture
report__n3_percentage_max,report,sleep_architecture
report__nr_of_shifts_max,report,sleep_architecture
report__nrem_duration_max,report,sleep_architecture
report__nrem_percentage_max,report,sleep_architecture
report__proportion_off_head_max,report,other
report__proportion_scorable_and_on_head_max,report,other
report__quality_index_F7_O1_max,report,other
report__quality_index_F7_O2_max,report,other
report__quality_index_F8_F7_max,report,other
report__quality_index_F8_O1_max,report,other
report__quality_index_F8_O2_max,report,other
report__record_duration_max,report,sleep_architecture
report__record_quality_index_max,report,other
report__rem_duration_max,report,sleep_architecture
report__rem_latency_max,report,sleep_architecture
report__rem_latency_aasm_max,report,sleep_architecture
report__rem_percentage_max,report,sleep_architecture
report__respiration_rate_n1_max,report,sleep_architecture
report__respiration_rate_n2_max,report,sleep_architecture
report__respiration_rate_n3_max,report,sleep_architecture
report__respiration_rate_rem_max,report,sleep_architecture
report__respiration_rate_wake_max,report,sleep_architecture
report__sleep_efficiency_max,report,sleep_architecture
report__sol_max,report,sleep_architecture
report__sol_aasm_max,report,sleep_architecture
report__tst_max,report,sleep_architecture
report__wake_duration_max,report,sleep_architecture
report__waso_max,report,sleep_architecture
report__waso_aasm_max,report,sleep_architecture
h5__n_epochs_mean,h5,time_domain
h5__wake_epochs_mean,h5,sleep_architecture
h5__sleep_epochs_mean,h5,time_domain
h5__tst_minutes_from_hypnogram_mean,h5,sleep_architecture
h5__sleep_efficiency_epoch_ratio_mean,h5,sleep_architecture
h5__Wake_epochs_mean,h5,sleep_architecture
h5__Wake_percentage_mean,h5,sleep_architecture
h5__N1_epochs_mean,h5,sleep_architecture
h5__N1_percentage_mean,h5,sleep_architecture
h5__N2_epochs_mean,h5,sleep_architecture
h5__N2_percentage_mean,h5,sleep_architecture
h5__N3_epochs_mean,h5,sleep_architecture
h5__N3_percentage_mean,h5,sleep_architecture
h5__REM_epochs_mean,h5,sleep_architecture
h5__REM_percentage_mean,h5,sleep_architecture
h5__eeg1_mean_mean_mean,h5,time_domain
h5__eeg1_mean_std_mean,h5,time_domain
h5__eeg1_mean_median_mean,h5,time_domain
h5__eeg1_std_mean_mean,h5,time_domain
h5__eeg1_std_std_mean,h5,time_domain
h5__eeg1_std_median_mean,h5,time_domain
h5__eeg1_iqr_mean_mean,h5,time_domain
h5__eeg1_iqr_std_mean,h5,time_domain
h5__eeg1_iqr_median_mean,h5,time_domain
h5__eeg1_skew_mean_mean,h5,time_domain
h5__eeg1_skew_std_mean,h5,time_domain
h5__eeg1_skew_median_mean,h5,time_domain
h5__eeg1_kurtosis_mean_mean,h5,time_domain
h5__eeg1_kurtosis_std_mean,h5,time_domain
h5__eeg1_kurtosis_median_mean,h5,time_domain
h5__eeg1_zero_crossings_mean_mean,h5,time_domain
h5__eeg1_zero_crossings_std_mean,h5,time_domain
h5__eeg1_zero_crossings_median_mean,h5,time_domain
h5__eeg1_hjorth_mobility_mean_mean,h5,hjorth
h5__eeg1_hjorth_mobility_std_mean,h5,hjorth
h5__eeg1_hjorth_mobility_median_mean,h5,hjorth
h5__eeg1_hjorth_complexity_mean_mean,h5,hjorth
h5__eeg1_hjorth_complexity_std_mean,h5,hjorth
h5__eeg1_hjorth_complexity_median_mean,h5,hjorth
h5__eeg1_total_power_0p5_30_mean_mean,h5,spectral_power
h5__eeg1_total_power_0p5_30_std_mean,h5,spectral_power
h5__eeg1_total_power_0p5_30_median_mean,h5,spectral_power
h5__eeg1_delta_power_mean_mean,h5,spectral_power
h5__eeg1_delta_power_std_mean,h5,spectral_power
h5__eeg1_delta_power_median_mean,h5,spectral_power
h5__eeg1_delta_relative_power_mean_mean,h5,spectral_power
h5__eeg1_delta_relative_power_std_mean,h5,spectral_power
h5__eeg1_delta_relative_power_median_mean,h5,spectral_power
h5__eeg1_theta_power_mean_mean,h5,spectral_power
h5__eeg1_theta_power_std_mean,h5,spectral_power
h5__eeg1_theta_power_median_mean,h5,spectral_power
h5__eeg1_theta_relative_power_mean_mean,h5,spectral_power
h5__eeg1_theta_relative_power_std_mean,h5,spectral_power
h5__eeg1_theta_relative_power_median_mean,h5,spectral_power
h5__eeg1_alpha_power_mean_mean,h5,spectral_power
h5__eeg1_alpha_power_std_mean,h5,spectral_power
h5__eeg1_alpha_power_median_mean,h5,spectral_power
h5__eeg1_alpha_relative_power_mean_mean,h5,spectral_power
h5__eeg1_alpha_relative_power_std_mean,h5,spectral_power
h5__eeg1_alpha_relative_power_median_mean,h5,spectral_power
h5__eeg1_sigma_power_mean_mean,h5,spectral_power
h5__eeg1_sigma_power_std_mean,h5,spectral_power
h5__eeg1_sigma_power_median_mean,h5,spectral_power
h5__eeg1_sigma_relative_power_mean_mean,h5,spectral_power
h5__eeg1_sigma_relative_power_std_mean,h5,spectral_power
