model,balanced_accuracy,macro_f1,sensitivity_narcolepsy,specificity_comparison,roc_auc,outer_folds,features_after_qc
random_forest,0.7320707070707071,0.7161902957683108,0.6363636363636364,0.8277777777777777,0.807979797979798,25,1730
linear_svm,0.632070707070707,0.632070707070707,0.43636363636363634,0.8277777777777777,0.7046464646464646,25,1730
logistic_regression,0.6169191919191919,0.6056311765802722,0.4727272727272727,0.7611111111111111,0.6731313131313131,25,1730
gradient_boosting,0.5914141414141414,0.5969125214408233,0.32727272727272727,0.8555555555555555,0.6798484848484848,25,1730
