dataset,feature,model_importance,permutation_importance_mean,permutation_importance_std,importance
h5_only,eeg4_theta_alpha_ratio_std_min,0.8789279125862223,0.0698232323232323,0.0430654283337927,0.0698232323232323
h5_only,eeg2_iqr_mean_min,0.6986747115277854,0.048989898989899,0.0356445454315028,0.048989898989899
h5_only,eeg4_theta_alpha_ratio_std_median,0.8622805289774608,0.0483164983164983,0.0418193475116351,0.0483164983164983
h5_only,eeg4_alpha_power_std_std,0.6174685424424408,0.0445286195286195,0.0087351677148672,0.0445286195286195
h5_only,eeg4_theta_alpha_ratio_mean_min,0.7884808826532617,0.044486531986532,0.0415244529122683,0.044486531986532
h5_only,eeg1_delta_beta_ratio_mean_median,0.5378815581449576,0.0335016835016835,0.0268650421989876,0.0335016835016835
h5_only,eeg2_theta_alpha_ratio_std_mean,0.4926059972641303,0.0256734006734007,0.0205549281968698,0.0256734006734007
h5_only,eeg1_delta_sigma_ratio_mean_median,0.31661771371957,0.0178030303030303,0.0249526598341614,0.0178030303030303
h5_only,eeg4_delta_beta_ratio_std_median,0.2323520757578546,0.0116582491582491,0.0205299648086466,0.0116582491582491
h5_only,eeg4_delta_sigma_ratio_mean_min,0.4772304285627411,0.0115319865319865,0.0246470626042898,0.0115319865319865
h5_only,eeg1_std_mean_median,0.2566976343378674,0.0103535353535353,0.0164993901251713,0.0103535353535353
h5_only,eeg1_delta_sigma_ratio_mean_mean,0.2717398425295466,0.0102693602693602,0.0217077081147449,0.0102693602693602
h5_only,eeg4_delta_beta_ratio_std_max,0.5850304333883765,0.0092592592592593,0.0097111930386125,0.0092592592592593
h5_only,eeg2_theta_alpha_ratio_std_std,0.525439395895859,0.0087962962962963,0.0110433892980338,0.0087962962962963
h5_only,eeg1_theta_alpha_ratio_std_mean,0.5271793856117937,0.0087542087542087,0.0195467522922138,0.0087542087542087
h5_only,eeg4_delta_sigma_ratio_std_median,0.2324158455047359,0.0075757575757575,0.0169399089204529,0.0075757575757575
h5_only,eeg1_delta_sigma_ratio_std_std,0.2690393142027988,0.0072390572390572,0.0185594130647236,0.0072390572390572
h5_only,eeg4_iqr_mean_min,0.4196627616389932,0.0055555555555555,0.0076913183915908,0.0055555555555555
h5_only,eeg4_delta_beta_ratio_mean_median,0.1984440550517094,0.0052609427609427,0.018676865478642,0.0052609427609427
h5_only,eeg1_delta_sigma_ratio_std_max,0.1772247245623586,0.0052609427609427,0.018676865478642,0.0052609427609427
h5_only,eeg4_iqr_std_min,0.5741402002276763,0.0041666666666667,0.0125,0.0041666666666667
h5_only,eeg4_iqr_std_median,0.2201877678730104,0.0032828282828283,0.0174150905551178,0.0032828282828283
h5_only,eeg4_mean_std_min,0.152654092159781,0.0031565656565656,0.01469482177369,0.0031565656565656
h5_only,eeg1_delta_sigma_ratio_mean_std,0.1719229784472836,0.0031565656565656,0.01469482177369,0.0031565656565656
h5_only,eeg4_delta_sigma_ratio_std_min,0.4414847460091894,0.0027777777777778,0.0090721842325303,0.0027777777777778
h5_only,eeg1_delta_beta_ratio_std_max,0.2330422223144361,0.0027777777777777,0.0055555555555555,0.0027777777777777
h5_only,eeg1_delta_beta_ratio_std_std,0.2342733744528702,0.0027777777777777,0.0055555555555555,0.0027777777777777
h5_only,eeg4_theta_alpha_ratio_std_mean,0.3785544378313746,0.001557239057239,0.0183803095520417,0.001557239057239
h5_only,eeg4_delta_beta_ratio_mean_min,0.3371088905351021,0.0013888888888889,0.0065636328142397,0.0013888888888889
h5_only,eeg1_delta_beta_ratio_mean_std,0.183208858127844,0.0009259259259259,0.0034644975803462,0.0009259259259259
