balanced_accuracy,macro_f1,sensitivity_narcolepsy,specificity_comparison,roc_auc,features_after_qc,subjects,strategy,raw_features
0.6439393939393939,0.6439393939393939,0.45454545454545453,0.8333333333333334,0.7676767676767676,330,47,eeg4,330
0.5984848484848485,0.6014350945857795,0.36363636363636365,0.8333333333333334,0.5404040404040404,330,47,eeg1,330
0.5845959595959596,0.5845959595959596,0.36363636363636365,0.8055555555555556,0.7297979797979798,1320,47,all_channels,1320
0.5707070707070707,0.5682792406613595,0.36363636363636365,0.7777777777777778,0.4393939393939394,330,47,eeg3,330
0.5568181818181819,0.5523809523809524,0.36363636363636365,0.75,0.6161616161616162,330,47,feature_median_4ch,330
0.529040404040404,0.5214932126696833,0.36363636363636365,0.6944444444444444,0.48484848484848486,330,47,eeg2,330
0.5252525252525253,0.5252525252525253,0.2727272727272727,0.7777777777777778,0.5833333333333333,330,47,feature_mean_4ch,330
