model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
linear_svm,0.7567274405723518,0.7248406213772209,0.7008731386515287,0.7756384795483795,0.7006974466659566,0.7248406213772209
logistic_regression,0.7592199399953843,0.7204855401523702,0.6986396282029214,0.7752233750215415,0.6949900260098095,0.7204855401523702
random_forest,0.8072697899838449,0.7143925811980878,0.7118325144038444,0.7984608965936557,0.7242936683017962,0.7143925811980878
gradient_boosting,0.8063927994461112,0.7139386365846311,0.7121767045498195,0.7984323696730978,0.7196145161024778,0.7139386365846311
