dataset,model,n_subjects,n_controls,n_t1_narcolepsy,n_features_before_qc,balanced_accuracy,macro_f1,roc_auc,sensitivity_t1_narcolepsy,specificity_control,tn,fp,fn,tp
cnc_edf,random_forest,78,23,55,1108,0.916600790513834,0.9219219219219219,0.9810276679841897,0.9636363636363636,0.8695652173913043,20,3,2,53
cnc_edf,logistic_regression,78,23,55,1108,0.9146245059288538,0.8846153846153846,0.9391304347826087,0.8727272727272727,0.9565217391304348,22,1,7,48
cnc_edf,support_vector_machine,78,23,55,1108,0.9075098814229249,0.9075098814229249,0.9446640316205533,0.9454545454545454,0.8695652173913043,20,3,3,52
cnc_edf,gradient_boosting,78,23,55,1108,0.8367588932806325,0.8325200078079251,0.8770750988142293,0.8909090909090909,0.782608695652174,18,5,6,49
