diagnosis,subjects,percentage
ISS,16,0.3404255319148936
Nil,11,0.23404255319148937
NT1,8,0.1702127659574468
IH,4,0.0851063829787234
NT2,3,0.06382978723404255
Insomnia,2,0.0425531914893617
PLMD,1,0.02127659574468085
DSWPD,1,0.02127659574468085
KLS,1,0.02127659574468085
