binary_target,sleep_efficiency_epoch_ratio_mean_mean,sleep_efficiency_epoch_ratio_mean_std,sleep_efficiency_epoch_ratio_mean_median,REM_percentage_mean_mean,REM_percentage_mean_std,REM_percentage_mean_median,N1_percentage_mean_mean,N1_percentage_mean_std,N1_percentage_mean_median,N2_percentage_mean_mean,N2_percentage_mean_std,N2_percentage_mean_median,N3_percentage_mean_mean,N3_percentage_mean_std,N3_percentage_mean_median
comparison,0.6916865940301378,0.1549529291091838,0.7211697761832687,0.2458337169420161,0.06015192186686604,0.2374489811326213,0.08073962662967547,0.041245424324370894,0.0720293142637799,0.4667307444949431,0.054008106370219966,0.4698017426504881,0.2066959119333651,0.0660196272815218,0.2207993836389414
narcolepsy,0.7068166880256176,0.14570965068983324,0.7156186729053609,0.27803324039525923,0.076541286809605,0.2588369441277081,0.09531889474943488,0.032597763128215905,0.0906763388432869,0.42393583607464885,0.06728273115760222,0.4307234792441547,0.2027120287806569,0.07056614484573719,0.1911064499129237
