binary_target,h5__eeg4_theta_alpha_ratio_std_median_mean,h5__eeg4_theta_alpha_ratio_std_median_std,h5__eeg4_theta_alpha_ratio_std_median_median,h5__eeg4_theta_alpha_ratio_std_min_mean,h5__eeg4_theta_alpha_ratio_std_min_std,h5__eeg4_theta_alpha_ratio_std_min_median,h5__eeg4_delta_beta_ratio_mean_min_mean,h5__eeg4_delta_beta_ratio_mean_min_std,h5__eeg4_delta_beta_ratio_mean_min_median,report__confidence_n1_percentage_max_mean,report__confidence_n1_percentage_max_std,report__confidence_n1_percentage_max_median,report__confidence_n1_duration_median_mean,report__confidence_n1_duration_median_std,report__confidence_n1_duration_median_median
comparison,5.66466603279163,1.6859756233493355,5.745148632311471,3.6726602006878526,1.1693846480452887,3.6212445688791783,523.1143070557256,426.42037674988524,368.12567221513154,87.16863072386455,15.174917514720619,92.69994747947294,67.54199001378014,25.455453530796266,77.52719260115393
narcolepsy,8.606639638454668,2.35397446926648,8.210599175197,5.212400201301374,1.3806240045162805,5.072741900001168,2076.451587815956,2417.430543574209,752.8566118043192,55.03648305599648,29.536947661192663,66.21800290337158,32.939081012826804,24.86871064449318,37.15196608058533
