feature
N1__eeg1_mean__mean
N2__eeg1_mean__mean
N3__eeg1_mean__mean
REM__eeg1_mean__mean
Wake__eeg1_mean__mean
N1__eeg1_std__mean
N2__eeg1_std__mean
N3__eeg1_std__mean
REM__eeg1_std__mean
Wake__eeg1_std__mean
N1__eeg1_iqr__mean
N2__eeg1_iqr__mean
N3__eeg1_iqr__mean
REM__eeg1_iqr__mean
Wake__eeg1_iqr__mean
N1__eeg1_skew__mean
N2__eeg1_skew__mean
N3__eeg1_skew__mean
REM__eeg1_skew__mean
Wake__eeg1_skew__mean
N1__eeg1_kurtosis__mean
N2__eeg1_kurtosis__mean
N3__eeg1_kurtosis__mean
REM__eeg1_kurtosis__mean
Wake__eeg1_kurtosis__mean
N1__eeg1_zero_crossings__mean
N2__eeg1_zero_crossings__mean
N3__eeg1_zero_crossings__mean
REM__eeg1_zero_crossings__mean
Wake__eeg1_zero_crossings__mean
N1__eeg1_hjorth_mobility__mean
N2__eeg1_hjorth_mobility__mean
N3__eeg1_hjorth_mobility__mean
REM__eeg1_hjorth_mobility__mean
Wake__eeg1_hjorth_mobility__mean
N1__eeg1_hjorth_complexity__mean
N2__eeg1_hjorth_complexity__mean
N3__eeg1_hjorth_complexity__mean
REM__eeg1_hjorth_complexity__mean
Wake__eeg1_hjorth_complexity__mean
N1__eeg1_total_power_0p5_30__mean
N2__eeg1_total_power_0p5_30__mean
N3__eeg1_total_power_0p5_30__mean
REM__eeg1_total_power_0p5_30__mean
Wake__eeg1_total_power_0p5_30__mean
N1__eeg1_delta_power__mean
N2__eeg1_delta_power__mean
N3__eeg1_delta_power__mean
REM__eeg1_delta_power__mean
Wake__eeg1_delta_power__mean
N1__eeg1_delta_relative_power__mean
N2__eeg1_delta_relative_power__mean
N3__eeg1_delta_relative_power__mean
REM__eeg1_delta_relative_power__mean
Wake__eeg1_delta_relative_power__mean
N1__eeg1_theta_power__mean
N2__eeg1_theta_power__mean
N3__eeg1_theta_power__mean
REM__eeg1_theta_power__mean
Wake__eeg1_theta_power__mean
N1__eeg1_theta_relative_power__mean
N2__eeg1_theta_relative_power__mean
N3__eeg1_theta_relative_power__mean
REM__eeg1_theta_relative_power__mean
Wake__eeg1_theta_relative_power__mean
N1__eeg1_alpha_power__mean
N2__eeg1_alpha_power__mean
N3__eeg1_alpha_power__mean
REM__eeg1_alpha_power__mean
Wake__eeg1_alpha_power__mean
N1__eeg1_alpha_relative_power__mean
